date,ticker,adj_close
2024-08-01,AAPL,216.8869171142578
2024-08-01,AMZN,184.07000732421875
2024-08-01,GOOGL,169.6739501953125
2024-08-01,JPM,202.4086151123047
2024-08-01,META,495.302978515625
2024-08-01,MSFT,412.4849853515625
2024-08-01,NVDA,109.16327667236328
2024-08-01,TSLA,216.86000061035156
2024-08-01,UNH,554.9000854492188
2024-08-01,XOM,110.99669647216797
2024-08-02,AAPL,218.37680053710938
2024-08-02,AMZN,167.89999389648438
2024-08-02,GOOGL,165.6000518798828
2024-08-02,JPM,193.82403564453125
2024-08-02,META,485.75
2024-08-02,MSFT,403.9605712890625
2024-08-02,NVDA,107.22410583496094
2024-08-02,TSLA,207.6699981689453
2024-08-02,UNH,571.4278564453125
2024-08-02,XOM,110.93025970458984
2024-08-05,AAPL,207.85824584960938
2024-08-05,AMZN,161.02000427246094
2024-08-05,GOOGL,158.2371826171875
2024-08-05,JPM,189.69723510742188
2024-08-05,META,473.4007568359375
2024-08-05,MSFT,390.7684631347656
2024-08-05,NVDA,100.40702056884766
2024-08-05,TSLA,198.8800048828125
2024-08-05,UNH,552.177734375
2024-08-05,XOM,108.92766571044922
2024-08-06,AAPL,205.8319854736328
2024-08-06,AMZN,161.92999267578125
2024-08-06,GOOGL,157.2832794189453
2024-08-06,JPM,194.9919891357422
2024-08-06,META,491.67083740234375
2024-08-06,MSFT,395.17901611328125
2024-08-06,NVDA,104.20540618896484
2024-08-06,TSLA,200.63999938964844
2024-08-06,UNH,550.6179809570312
2024-08-06,XOM,108.34872436523438
2024-08-07,AAPL,208.404541015625
2024-08-07,AMZN,162.77000427246094
2024-08-07,GOOGL,157.9291534423828
2024-08-07,JPM,195.05039978027344
2024-08-07,META,486.52618408203125
2024-08-07,MSFT,394.0121154785156
2024-08-07,NVDA,98.86768341064453
2024-08-07,TSLA,191.75999450683594
2024-08-07,UNH,548.4188232421875
2024-08-07,XOM,109.79135131835938
2024-08-08,AAPL,211.8709716796875
2024-08-08,AMZN,165.8000030517578
2024-08-08,GOOGL,160.99948120117188
2024-08-08,JPM,198.61268615722656
2024-08-08,META,507.1347351074219
2024-08-08,MSFT,398.2248840332031
2024-08-08,NVDA,104.92508697509766
2024-08-08,TSLA,198.83999633789062
2024-08-08,UNH,548.57373046875
2024-08-08,XOM,111.88883972167969
2024-08-09,AAPL,214.78121948242188
2024-08-09,AMZN,166.94000244140625
2024-08-09,GOOGL,162.62905883789062
2024-08-09,JPM,200.3062744140625
2024-08-09,META,515.2349243164062
2024-08-09,MSFT,401.5179748535156
2024-08-09,NVDA,104.70518493652344
2024-08-09,TSLA,200.0
2024-08-09,UNH,541.3271484375
2024-08-09,XOM,112.79998016357422
2024-08-12,AAPL,216.31260681152344
2024-08-12,AMZN,166.8000030517578
2024-08-12,GOOGL,161.25784301757812
2024-08-12,JPM,200.6858367919922
2024-08-12,META,513.4237670898438
2024-08-12,MSFT,402.2991943359375
2024-08-12,NVDA,108.97335815429688
2024-08-12,TSLA,197.49000549316406
2024-08-12,UNH,547.6534423828125
2024-08-12,XOM,112.94234466552734
2024-08-13,AAPL,220.03167724609375
2024-08-13,AMZN,170.22999572753906
2024-08-13,GOOGL,163.11593627929688
2024-08-13,JPM,202.38914489746094
2024-08-13,META,525.9521484375
2024-08-13,MSFT,409.41937255859375
2024-08-13,NVDA,116.0903091430664
2024-08-13,TSLA,207.8300018310547
2024-08-13,UNH,556.32421875
2024-08-13,XOM,111.8603744506836
2024-08-14,AAPL,220.47915649414062
2024-08-14,AMZN,170.10000610351562
2024-08-14,GOOGL,159.35003662109375
2024-08-14,JPM,204.6277313232422
2024-08-14,META,524.1809692382812
2024-08-14,MSFT,412.23773193359375
2024-08-14,NVDA,118.02949523925781
2024-08-14,TSLA,201.3800048828125
2024-08-14,UNH,561.5847778320312
2024-08-14,XOM,112.89488220214844
2024-08-15,AAPL,223.4623565673828
2024-08-15,AMZN,177.58999633789062
2024-08-15,GOOGL,160.27415466308594
2024-08-15,JPM,205.9027862548828
2024-08-15,META,534.6990966796875
2024-08-15,MSFT,417.1119689941406
2024-08-15,NVDA,122.80744171142578
2024-08-15,TSLA,214.13999938964844
2024-08-15,UNH,561.526611328125
2024-08-15,XOM,113.59330749511719
2024-08-16,AAPL,224.78492736816406
2024-08-16,AMZN,177.05999755859375
2024-08-16,GOOGL,161.92356872558594
2024-08-16,JPM,208.2581787109375
2024-08-16,META,524.837646484375
2024-08-16,MSFT,414.5758056640625
2024-08-16,NVDA,124.52670288085938
2024-08-16,TSLA,216.1199951171875
2024-08-16,UNH,559.6568603515625
2024-08-16,XOM,113.05754089355469
2024-08-19,AAPL,224.6258087158203
2024-08-19,AMZN,178.22000122070312
2024-08-19,GOOGL,165.61000061035156
2024-08-19,JPM,209.6986541748047
2024-08-19,META,526.6885375976562
2024-08-19,MSFT,417.6072998046875
